iter	Passed	Remaining
0	0	81
1	1	73
2	2	73
3	2	67
4	3	65
5	4	63
6	4	62
7	5	62
8	6	62
9	6	61
10	7	60
11	8	60
12	8	59
13	9	59
14	10	59
15	11	60
16	12	59
17	12	58
18	13	57
19	14	56
20	14	56
21	15	55
22	16	54
23	17	53
24	17	53
25	18	52
26	19	51
27	19	50
28	20	50
29	21	49
30	21	48
31	22	48
32	23	47
33	24	47
34	25	46
35	25	46
36	26	45
37	27	44
38	28	44
39	28	43
40	29	42
41	30	41
42	30	40
43	31	40
44	32	39
45	33	38
46	33	38
47	34	37
48	35	36
49	36	36
50	37	35
51	38	35
52	38	34
53	39	33
54	40	32
55	40	32
56	41	31
57	42	30
58	42	29
59	43	29
60	44	28
61	44	27
62	45	26
63	46	25
64	46	25
65	47	24
66	48	23
67	48	22
68	49	22
69	50	21
70	50	20
71	51	20
72	52	19
73	52	18
74	53	17
75	54	17
76	54	16
77	55	15
78	56	14
79	56	14
80	57	13
81	58	12
82	58	12
83	59	11
84	60	10
85	60	9
86	61	9
87	62	8
88	62	7
89	63	7
90	63	6
91	64	5
92	65	4
93	66	4
94	66	3
95	67	2
96	67	2
97	68	1
98	69	0
99	69	0
