iter	Passed	Remaining
0	10	10293
1	11	5499
2	11	3862
3	12	3034
4	12	2554
5	13	2226
6	14	1987
7	14	1822
8	15	1703
9	16	1611
10	16	1519
11	17	1440
12	18	1373
13	18	1319
14	19	1269
15	19	1225
16	20	1189
17	21	1153
18	21	1123
19	22	1095
20	22	1069
21	23	1050
22	24	1031
23	24	1013
24	25	996
25	26	982
26	26	969
27	27	953
28	28	941
29	28	929
30	29	920
31	30	920
32	31	910
33	31	902
34	32	893
35	32	883
36	33	878
37	34	873
38	35	866
39	35	859
40	36	851
41	37	844
42	37	838
43	38	832
44	38	825
45	39	819
46	40	813
47	40	807
48	41	803
49	42	799
50	42	794
51	43	788
52	43	786
53	44	787
54	45	785
55	46	781
56	47	779
57	47	776
58	48	773
59	49	769
60	49	767
61	50	763
62	51	760
63	51	758
64	52	756
65	53	753
66	53	750
67	54	748
68	55	744
69	55	741
70	56	738
71	57	736
72	57	733
73	58	731
74	59	733
75	60	732
76	60	731
77	61	729
78	62	727
79	63	725
80	63	723
81	64	721
82	64	715
83	65	714
84	66	713
85	66	711
86	67	710
87	68	709
88	69	707
89	69	705
90	70	703
91	71	702
92	71	700
93	72	698
94	73	697
95	74	697
96	74	695
97	75	694
98	76	692
99	76	690
100	77	688
101	78	687
102	78	687
103	79	685
104	80	683
105	80	681
106	81	680
107	82	678
108	82	677
109	83	676
110	84	674
111	84	673
112	85	671
113	86	669
114	86	668
115	87	667
116	88	666
117	88	665
118	89	663
119	90	661
120	90	659
121	91	657
122	92	656
123	92	654
124	93	652
125	94	652
126	94	650
127	95	649
128	95	647
129	96	646
130	97	644
131	97	644
132	98	642
133	99	640
134	99	638
135	100	637
136	100	635
137	101	634
138	102	634
139	103	633
140	103	632
141	104	629
142	104	628
143	105	626
144	106	625
145	106	625
146	107	623
147	108	622
148	108	620
149	109	619
150	110	618
151	110	617
152	111	615
153	111	614
154	112	613
155	113	611
156	113	609
157	114	608
158	114	606
159	115	607
160	116	605
161	116	605
162	117	605
163	118	604
164	119	603
165	119	602
166	120	601
167	121	599
168	121	598
169	122	597
170	122	595
171	123	595
172	124	594
173	125	595
174	126	594
175	126	593
176	127	591
177	127	590
178	128	589
179	129	588
180	129	587
181	130	585
182	130	584
183	131	583
184	132	582
185	133	583
186	133	582
187	134	582
188	135	581
189	136	580
190	136	579
191	137	578
192	138	577
193	138	577
194	139	576
195	140	575
196	140	574
197	141	574
198	142	573
199	143	572
200	143	572
201	144	571
202	145	570
203	146	571
204	147	572
205	149	575
206	150	577
207	151	576
208	152	575
209	152	574
210	153	573
211	154	573
212	155	572
213	155	572
214	156	571
215	157	570
216	157	570
217	158	568
218	159	567
219	159	567
220	161	568
221	162	570
222	163	570
223	164	569
224	164	568
225	165	567
226	166	566
227	167	565
228	167	564
229	168	564
230	169	563
231	169	562
232	170	561
233	171	560
234	171	559
235	172	558
236	173	557
237	173	556
238	174	556
239	175	556
240	177	558
241	178	557
242	178	557
243	180	558
244	181	559
245	182	559
246	183	558
247	183	557
248	184	557
249	185	556
250	186	555
251	187	555
252	187	554
253	188	553
254	189	552
255	190	552
256	190	552
257	192	552
258	194	556
259	195	555
260	196	555
261	196	554
262	198	555
263	198	554
264	199	553
265	200	553
266	201	552
267	201	551
268	202	549
269	202	548
270	203	547
271	205	548
272	206	549
273	207	548
274	208	548
275	209	549
276	211	551
277	212	550
278	212	549
279	213	549
280	214	548
281	214	546
282	215	545
283	216	544
284	216	543
285	217	542
286	218	541
287	219	542
288	220	541
289	220	540
290	221	539
291	224	544
292	226	545
293	227	545
294	228	545
295	229	544
296	229	544
297	230	543
298	231	542
299	231	541
300	232	540
301	234	540
302	236	543
303	238	546
304	239	545
305	240	545
306	240	543
307	241	543
308	242	542
309	243	541
310	243	540
311	244	539
312	245	538
313	245	537
314	246	536
315	247	536
316	249	537
317	251	539
318	253	540
319	253	539
320	254	538
321	255	537
322	256	536
323	256	535
324	257	534
325	258	533
326	259	533
327	259	532
328	260	531
329	261	531
330	262	531
331	265	533
332	266	534
333	267	533
334	268	532
335	269	531
336	269	530
337	270	529
338	270	527
339	271	526
340	271	525
341	272	524
342	273	523
343	273	522
344	274	521
345	275	520
346	276	519
347	277	519
348	279	521
349	280	521
350	281	520
351	282	519
352	283	518
353	283	517
354	284	516
355	284	515
356	285	514
357	286	512
358	286	511
359	287	510
360	287	509
361	288	508
362	289	507
363	290	506
364	290	506
365	291	505
366	292	504
367	293	503
368	293	502
369	294	501
370	295	500
371	295	499
372	296	498
373	296	496
374	297	495
375	298	494
376	298	493
377	299	492
378	299	491
379	300	490
380	301	489
381	301	488
382	302	486
383	302	486
384	303	484
385	304	484
386	305	483
387	305	482
388	306	481
389	306	480
390	307	478
391	308	477
392	308	476
393	309	475
394	309	474
395	310	473
396	311	472
397	311	471
398	312	470
399	312	469
400	313	468
401	314	467
402	314	466
403	315	465
404	315	464
405	316	463
406	317	462
407	317	461
408	318	460
409	319	459
410	320	458
411	320	458
412	321	457
413	322	455
414	322	455
415	323	453
416	323	452
417	324	451
418	325	450
419	325	449
420	326	448
421	326	447
422	327	446
423	328	445
424	328	444
425	329	443
426	329	442
427	330	441
428	331	440
429	331	439
430	332	438
431	333	437
432	333	437
433	334	436
434	336	436
435	337	437
436	338	436
437	339	435
438	340	434
439	340	433
440	341	432
441	341	431
442	342	430
443	343	429
444	343	429
445	344	428
446	345	427
447	346	426
448	346	425
449	347	424
450	348	424
451	349	423
452	351	424
453	352	423
454	353	422
455	353	421
456	354	420
457	354	419
458	355	419
459	356	418
460	356	417
461	357	416
462	358	415
463	358	414
464	359	413
465	360	412
466	360	411
467	361	410
468	361	409
469	363	409
470	364	409
471	366	410
472	367	409
473	368	408
474	368	407
475	369	406
476	370	405
477	370	405
478	371	404
479	372	403
480	373	402
481	374	401
482	374	401
483	375	400
484	375	399
485	376	398
486	377	397
487	378	397
488	380	397
489	381	397
490	382	396
491	382	395
492	383	394
493	384	393
494	384	392
495	385	391
496	385	390
497	386	389
498	387	388
499	387	387
500	388	386
501	389	385
502	389	384
503	390	384
504	390	383
505	391	382
506	392	382
507	394	382
508	395	381
509	396	380
510	397	380
511	397	379
512	398	378
513	399	377
514	399	376
515	400	375
516	401	374
517	401	373
518	402	372
519	402	371
520	403	370
521	403	369
522	404	368
523	405	368
524	405	367
525	407	366
526	408	366
527	410	366
528	411	366
529	411	365
530	412	364
531	413	363
532	413	362
533	414	361
534	415	361
535	416	360
536	416	359
537	417	358
538	417	357
539	418	356
540	419	355
541	420	355
542	421	355
543	424	356
544	425	355
545	426	354
546	426	353
547	427	352
548	427	351
549	428	350
550	429	349
551	429	348
552	430	347
553	431	347
554	431	346
555	432	345
556	432	344
557	433	343
558	433	342
559	434	341
560	435	340
561	436	340
562	438	340
563	439	339
564	440	339
565	441	338
566	441	337
567	442	336
568	443	335
569	443	334
570	444	333
571	445	332
572	445	332
573	446	331
574	446	330
575	447	329
576	448	328
577	448	327
578	449	326
579	450	326
580	453	326
581	454	326
582	454	325
583	455	324
584	456	323
585	456	322
586	457	321
587	458	320
588	458	320
589	459	319
590	459	318
591	460	317
592	461	316
593	461	315
594	462	314
595	462	313
596	463	312
597	464	312
598	466	312
599	468	312
600	469	311
601	470	310
602	470	310
603	471	309
604	472	308
605	472	307
606	473	306
607	474	305
608	474	304
609	475	303
610	475	302
611	476	302
612	477	301
613	478	300
614	478	299
615	479	299
616	481	299
617	482	298
618	483	297
619	484	296
620	484	295
621	485	294
622	485	294
623	486	293
624	487	292
625	487	291
626	488	290
627	489	289
628	489	288
629	490	287
630	490	287
631	491	286
632	492	285
633	492	284
634	493	283
635	496	284
636	497	283
637	498	282
638	498	281
639	499	281
640	500	280
641	500	279
642	501	278
643	502	277
644	502	276
645	503	275
646	503	274
647	504	274
648	505	273
649	505	272
650	506	271
651	507	270
652	508	270
653	509	269
654	511	269
655	512	268
656	513	268
657	514	267
658	514	266
659	515	265
660	516	264
661	516	263
662	517	262
663	517	262
664	518	261
665	519	260
666	519	259
667	520	258
668	520	257
669	521	257
670	522	256
671	524	255
672	525	255
673	526	254
674	527	253
675	527	252
676	528	252
677	529	251
678	529	250
679	530	249
680	531	248
681	531	247
682	532	247
683	532	246
684	533	245
685	533	244
686	534	243
687	535	242
688	536	242
689	536	241
690	538	240
691	540	240
692	541	239
693	541	238
694	542	238
695	543	237
696	543	236
697	544	235
698	545	234
699	545	233
700	546	233
701	546	232
702	547	231
703	548	230
704	548	229
705	549	228
706	550	228
707	551	227
708	553	227
709	554	226
710	555	225
711	555	224
712	556	223
713	556	223
714	557	222
715	558	221
716	559	220
717	559	219
718	560	219
719	561	218
720	561	217
721	562	216
722	563	215
723	563	214
724	564	214
725	565	213
726	566	212
727	568	212
728	569	211
729	569	210
730	570	209
731	571	209
732	571	208
733	587	212
734	588	212
735	588	211
736	589	210
737	590	209
738	590	208
739	591	207
740	591	206
741	592	206
742	593	205
743	593	204
744	594	203
745	595	202
746	597	202
747	598	201
748	599	200
749	600	200
750	600	199
751	601	198
752	601	197
753	602	196
754	603	195
755	604	195
756	604	194
757	605	193
758	605	192
759	606	191
760	607	190
761	607	189
762	608	188
763	609	188
764	610	187
765	611	186
766	613	186
767	614	185
768	614	184
769	615	183
770	616	183
771	616	182
772	617	181
773	618	180
774	618	179
775	619	178
776	620	177
777	620	177
778	621	176
779	621	175
780	622	174
781	623	173
782	624	173
783	625	172
784	628	172
785	628	171
786	629	170
787	630	169
788	630	168
789	631	167
790	632	167
791	632	166
792	633	165
793	634	164
794	634	163
795	635	162
796	636	162
797	636	161
798	637	160
799	638	159
800	639	158
801	640	158
802	642	157
803	643	156
804	644	156
805	645	155
806	645	154
807	646	153
808	647	152
809	647	151
810	648	151
811	649	150
812	649	149
813	650	148
814	650	147
815	651	146
816	652	146
817	652	145
818	653	144
819	654	143
820	656	143
821	657	142
822	658	141
823	658	140
824	659	139
825	660	139
826	660	138
827	661	137
828	662	136
829	662	135
830	663	134
831	663	134
832	664	133
833	665	132
834	665	131
835	666	130
836	667	129
837	668	129
838	670	128
839	671	127
840	672	127
841	673	126
842	673	125
843	674	124
844	675	123
845	675	122
846	676	122
847	677	121
848	677	120
849	678	119
850	678	118
851	679	118
852	679	117
853	680	116
854	681	115
855	683	114
856	686	114
857	686	113
858	687	112
859	688	112
860	688	111
861	689	110
862	690	109
863	690	108
864	691	107
865	692	107
866	692	106
867	693	105
868	693	104
869	694	103
870	695	103
871	696	102
872	698	101
873	699	100
874	700	100
875	701	99
876	702	98
877	703	97
878	703	96
879	704	96
880	705	95
881	705	94
882	706	93
883	706	92
884	707	91
885	708	91
886	709	90
887	711	89
888	713	89
889	714	88
890	715	87
891	715	86
892	716	85
893	717	85
894	717	84
895	718	83
896	719	82
897	719	81
898	720	80
899	721	80
900	721	79
901	722	78
902	722	77
903	723	76
904	724	76
905	725	75
906	727	74
907	728	73
908	729	72
909	729	72
910	730	71
911	731	70
912	731	69
913	732	68
914	733	68
915	733	67
916	734	66
917	734	65
918	735	64
919	736	64
920	736	63
921	737	62
922	737	61
923	738	60
924	739	59
925	741	59
926	742	58
927	742	57
928	743	56
929	744	56
930	744	55
931	745	54
932	745	53
933	746	52
934	747	51
935	747	51
936	748	50
937	748	49
938	749	48
939	750	47
940	750	47
941	751	46
942	752	45
943	752	44
944	753	43
945	755	43
946	756	42
947	757	41
948	757	40
949	758	39
950	759	39
951	759	38
952	760	37
953	760	36
954	761	35
955	762	35
956	762	34
957	763	33
958	763	32
959	764	31
960	765	31
961	765	30
962	766	29
963	766	28
964	767	27
965	769	27
966	770	26
967	771	25
968	771	24
969	772	23
970	772	23
971	773	22
972	774	21
973	774	20
974	775	19
975	776	19
976	777	18
977	777	17
978	778	16
979	778	15
980	779	15
981	781	14
982	782	13
983	783	12
984	783	11
985	784	11
986	785	10
987	785	9
988	786	8
989	787	7
990	787	7
991	788	6
992	789	5
993	789	4
